Hardware allocated: cuda
STATERA PoC Temporal Tracking Training Started...
Epoch[4/50] | Train Batch[60/334] | Time (10 batches): 69.02s | Loss: 7.7740 (wH: 6.0733, wZ: 0.7108, wM: 16.2964)
Epoch[4/50] | Train Batch[70/334] | Time (10 batches): 69.07s | Loss: 8.2663 (wH: 6.0586, wZ: 0.8360, wM: 21.2409)
Epoch[4/50] | Train Batch[80/334] | Time (10 batches): 69.21s | Loss: 8.5527 (wH: 6.2547, wZ: 1.1339, wM: 21.8460)
Epoch[4/50] | Train Batch[90/334] | Time (10 batches): 69.15s | Loss: 8.7828 (wH: 6.1106, wZ: 1.1013, wM: 25.6211)
Epoch[4/50] | Train Batch[100/334] | Time (10 batches): 69.03s | Loss: 7.7514 (wH: 6.0359, wZ: 0.9515, wM: 16.2035)
Epoch[4/50] | Train Batch[110/334] | Time (10 batches): 69.09s | Loss: 8.4760 (wH: 6.0117, wZ: 0.7978, wM: 23.8452)
Epoch[4/50] | Train Batch[120/334] | Time (10 batches): 69.10s | Loss: 8.3830 (wH: 6.1109, wZ: 0.8048, wM: 21.9161)
Epoch[4/50] | Train Batch[130/334] | Time (10 batches): 69.07s | Loss: 8.9803 (wH: 6.1217, wZ: 0.6321, wM: 27.9538)
Epoch[4/50] | Train Batch[140/334] | Time (10 batches): 69.08s | Loss: 7.5759 (wH: 5.9966, wZ: 0.7197, wM: 15.0727)
Epoch[4/50] | Train Batch[150/334] | Time (10 batches): 69.07s | Loss: 8.4654 (wH: 6.2823, wZ: 1.0291, wM: 20.8014)
Epoch[4/50] | Train Batch[160/334] | Time (10 batches): 69.23s | Loss: 8.3450 (wH: 5.9556, wZ: 0.9619, wM: 22.9319)
Epoch[4/50] | Train Batch[170/334] | Time (10 batches): 69.23s | Loss: 8.5474 (wH: 6.3613, wZ: 0.8814, wM: 20.9799)
Epoch[4/50] | Train Batch[180/334] | Time (10 batches): 69.11s | Loss: 8.4709 (wH: 6.0734, wZ: 2.2659, wM: 21.7093)
Epoch[4/50] | Train Batch[190/334] | Time (10 batches): 69.11s | Loss: 8.6130 (wH: 6.3140, wZ: 1.0486, wM: 21.9408)
Epoch[4/50] | Train Batch[200/334] | Time (10 batches): 69.17s | Loss: 7.3485 (wH: 5.9714, wZ: 1.3921, wM: 12.3788)
